Microgreen,Biomass_g,Sowing_Density,X,Y,Bed,Light_Intensity_umols,Bed_Position,Position_in_Bed,Unique_Identifier,Red_Light_Intensity_umols,Blue_Light_Intensity_umols,Far_Red_Light_Intensity_umols,
205,Sunflower,10.5,100,13,13,D,473,4,Corner,13 13,58.51197531,77.64,10.86660714
206,Sunflower,9,100,14,13,D,457,4,Edge,14 13,58.5291358,77.66444444,10.97625
207,Sunflower,19.5,100,15,13,D,443,4,Edge,15 13,58.54740741,77.35462963,10.30910714
208,Sunflower,15.5,100,16,13,D,395,4,Corner,16 13,58.5954321,75.37462963,9.501607143
137,Kale(Tozer),13,15,1,14,D,452,1,Edge,1 14,58.40716049,77.50074074,10.92446429
138,Kale(Tozer),9,15,2,14,D,487,1,Centre,2 14,58.40296296,77.49611111,11.41964286
139,Kale(Tozer),11,15,3,14,D,506,1,Centre,3 14,58.41382716,77.51018519,11.64267857
140,Kale(Tozer),7,15,4,14,D,535,1,Edge,4 14,58.40222222,77.49555556,10.9875
73,Kale(CN),3,15,5,14,D,557,2,Edge,5 14,58.42333333,77.52259259,11.85678571
74,Kale(CN),3,15,6,14,D,563,2,Centre,6 14,58.42,77.51888889,11.79571429
75,Kale(CN),3,15,7,14,D,568,2,Centre,7 14,58.41925926,77.51722222,11.94714286
76,Kale(CN),3.5,15,8,14,D,568,2,Edge,8 14,58.42938272,77.53148148,11.62642857
9,Radish,8.5,45,9,14,D,551,3,Edge,9 14,58.46530864,77.57814815,11.53589286
10,Radish,15,45,10,14,D,555,3,Centre,10 14,58.46580247,77.57851852,11.88357143
11,Radish,17,45,11,14,D,553,3,Centre,11 14,58.45308642,77.56314815,11.98875
12,Radish,8,45,12,14,D,551,3,Edge,12 14,58.46666667,77.57944444,11.55392857
201,Sunflower,8.5,100,13,14,D,529,4,Edge,13 14,58.5091358,71.85351852,8.619821429
202,Sunflower,15,100,14,14,D,512,4,Centre,14 14,58.51950617,71.54203704,8.774285714
203,Sunflower,17,100,15,14,D,492,4,Centre,15 14,58.52024691,69.46907407,8.268928571
204,Sunflower,8,100,16,14,D,448,4,Edge,16 14,58.52209877,70.02351852,8.404642857
133,Kale(Tozer),16.5,15,1,15,D,464,1,Edge,1 15,58.40444444,76.13888889,9.592321429
134,Kale(Tozer),11.5,15,2,15,D,437,1,Centre,2 15,58.40555556,77.1012963,10.04196429
135,Kale(Tozer),13.5,15,3,15,D,470,1,Centre,3 15,58.41382716,76.07074074,9.947142857
136,Kale(Tozer),9,15,4,15,D,488,1,Edge,4 15,58.40975309,77.36814815,10.23642857
69,Kale(CN),3,15,5,15,D,509,2,Edge,5 15,58.41950617,77.51851852,10.9075
70,Kale(CN),2.5,15,6,15,D,513,2,Centre,6 15,58.43160494,77.53481481,11.00392857
71,Kale(CN),4,15,7,15,D,529,2,Centre,7 15,58.41259259,77.50777778,10.24017857
72,Kale(CN),3,15,8,15,D,530,2,Edge,8 15,58.41382716,77.51,10.39982143
5,Radish,7.5,45,9,15,D,506,3,Edge,9 15,58.4437037,77.54944444,10.58214286
6,Radish,10.5,45,10,15,D,508,3,Centre,10 15,58.46098765,77.57388889,10.69339286
7,Radish,18.5,45,11,15,D,510,3,Centre,11 15,58.45703704,77.4512963,10.27875
8,Radish,13,45,12,15,D,509,3,Edge,12 15,58.46481481,76.2962963,10.0975
197,Sunflower,7.5,100,13,15,D,475,4,Edge,13 15,58.51037037,77.63851852,11.57767857
198,Sunflower,10.5,100,14,15,D,460,4,Centre,14 15,58.51753086,77.64814815,11.91321429
199,Sunflower,18.5,100,15,15,D,452,4,Centre,15 15,58.51469136,77.64462963,11.57607143
200,Sunflower,13,100,16,15,D,419,4,Edge,16 15,58.52209877,77.65481481,11.61446429
129,Kale(Tozer),12.5,15,1,16,D,345,1,Corner,1 16,58.40888889,67.56518519,7.666785714
130,Kale(Tozer),10.5,15,2,16,D,366,1,Edge,2 16,58.39814815,70.18574074,8.339285714
131,Kale(Tozer),15.5,15,3,16,D,375,1,Edge,3 16,58.40074074,70.1387037,8.298035714
132,Kale(Tozer),7,15,4,16,D,383,1,Corner,4 16,58.40506173,69.13222222,8.109821429
65,Kale(CN),3.5,15,5,16,D,394,2,Corner,5 16,58.42691358,72.81703704,8.658214286
66,Kale(CN),3,15,6,16,D,410,2,Edge,6 16,58.41444444,73.0512963,8.777678571
67,Kale(CN),3.5,15,7,16,D,419,2,Edge,7 16,58.4182716,74.19592593,9.097678571
68,Kale(CN),2.5,15,8,16,D,429,2,Corner,8 16,58.41432099,72.51944444,8.986785714
1,Radish,12,45,9,16,D,384,3,Corner,9 16,58.45111111,71.85055556,8.542678571
2,Radish,21.5,45,10,16,D,405,3,Edge,10 16,58.46074074,72.64296296,8.804285714
3,Radish,26,45,11,16,D,414,3,Edge,11 16,58.44925926,73.42296296,8.92875
4,Radish,11.5,45,12,16,D,408,3,Corner,12 16,58.45469136,74.70574074,9.266785714
193,Sunflower,12,100,13,16,D,366,4,Corner,13 16,58.52024691,77.65259259,10.47607143
194,Sunflower,21.5,100,14,16,D,357,4,Edge,14 16,58.51617284,77.64574074,10.56232143
195,Sunflower,26,100,15,16,D,350,4,Edge,15 16,58.50777778,77.5512963,10.38464286
196,Sunflower,11.5,100,16,16,D,332,4,Corner,16 16,58.50802469,76.81388889,10.25946429
